scenario,density,density_veh_km_lane,weather,hazard_type,policy,slot_epochs,seed,rwcr,tir_median_s,tir_p95_s,tx_per_at_risk_informed,actionable_deadline_miss_rate,transmissions
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,0,0.8135229389309446,0.7000000000000002,1.4200000000000002,1.7857142857142858,0.36363636363636365,25.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,1,0.5253245797006195,0.6500000000000004,1.1750000000000003,2.0,0.6190476190476191,16.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,2,0.37002612601832163,0.8500000000000001,1.1000000000000005,2.0,0.75,12.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,3,0.6705788799244192,0.5,0.9000000000000004,1.9166666666666667,0.5384615384615384,23.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,4,0.8389711353887087,0.6500000000000004,1.3250000000000006,1.625,0.30434782608695654,26.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,5,0.8858956817838112,0.7000000000000002,1.3300000000000005,1.411764705882353,0.26086956521739135,24.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,6,0.5220714522845914,0.35000000000000053,0.9300000000000002,1.5,0.6799999999999999,12.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,7,0.7514353769953893,0.5,0.9800000000000002,1.75,0.5,21.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,8,0.39130148167881496,0.3000000000000007,0.5750000000000004,1.3333333333333333,0.7391304347826086,8.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,1,9,0.6067024229162062,0.3000000000000007,0.7200000000000005,2.111111111111111,0.5909090909090908,19.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,0,0.8135229389309446,0.9000000000000004,2.6000000000000005,1.6428571428571428,0.36363636363636365,23.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,1,0.5253245797006195,0.9500000000000002,1.7750000000000006,2.0,0.6190476190476191,16.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,2,0.5405367478596573,1.4000000000000004,2.08,1.4444444444444444,0.625,13.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,3,0.5055766238687224,0.6500000000000004,0.9000000000000004,1.5,0.6923076923076923,12.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,4,0.8389711353887087,1.9000000000000004,2.3250000000000006,1.625,0.30434782608695654,26.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,5,0.8858956817838112,1.0,1.5499999999999998,1.4705882352941178,0.26086956521739135,25.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,6,0.5220714522845914,0.40000000000000036,1.5950000000000002,1.375,0.6799999999999999,11.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,7,0.7514353769953893,0.9500000000000002,1.8699999999999999,2.0833333333333335,0.5,25.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,8,0.39130148167881496,0.3000000000000007,0.6750000000000003,1.3333333333333333,0.7391304347826086,8.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,2,9,0.8749489985065126,0.5,2.2050000000000005,1.8571428571428572,0.36363636363636365,26.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,0,0.7279619947697406,1.4500000000000002,3.1599999999999997,1.4166666666666667,0.4545454545454546,17.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,1,0.604917461071161,0.9000000000000004,2.4199999999999995,1.8888888888888888,0.5714285714285714,17.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,2,0.5405367478596573,3.5999999999999996,5.26,1.7777777777777777,0.625,16.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,3,0.6199430797162562,1.4000000000000004,3.5300000000000002,1.6,0.6153846153846154,16.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,4,0.8389711353887087,1.9500000000000002,3.3000000000000007,1.4375,0.30434782608695654,23.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,5,0.8128654581373073,1.3000000000000007,2.5099999999999985,1.2666666666666666,0.34782608695652173,19.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,6,0.581679026266971,0.40000000000000036,3.7600000000000007,1.3333333333333333,0.64,12.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,7,0.7514353769953893,1.5500000000000003,3.3399999999999994,2.25,0.5,27.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,8,0.42552438746497495,0.3000000000000007,0.9750000000000001,1.5714285714285714,0.6956521739130435,11.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,5,9,0.6067024229162062,0.3000000000000007,1.2799999999999998,2.0,0.5909090909090908,18.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,0,0.7768003530626405,2.45,5.645000000000001,1.5,0.4545454545454546,21.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,1,0.7670436217505605,1.9000000000000004,6.205,2.2,0.5714285714285714,22.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,2,0.4839859840368323,4.550000000000001,6.865,1.625,0.7916666666666666,13.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,3,0.6841346236492601,2.5,6.250000000000001,1.6363636363636365,0.6153846153846154,18.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,4,0.8125324580181291,3.5,10.93,1.5625,0.6521739130434783,25.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,5,0.8858956817838112,2.3000000000000007,8.229999999999999,1.411764705882353,0.4347826086956522,24.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,6,0.581679026266971,0.40000000000000036,5.760000000000001,1.5555555555555556,0.64,14.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,7,0.7514353769953893,2.2500000000000004,3.8450000000000006,2.0,0.5,24.0
