scenario,density,density_veh_km_lane,weather,hazard_type,seed,topology_split,hazard_split,weather_split,risk_est_precision,risk_est_recall,risk_est_f1,risk_peak_corr,n_at_risk_oracle,n_at_risk_causal,oracle_horizon_s,backend
rural_highway,1.0,1.0,clear,fog_bank,0,train,train,train,0.9230769230769231,1.0,0.9600000000000001,0.8946119024907337,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,1,train,train,train,0.875,1.0,0.9333333333333333,0.8136633062960273,14,16,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,2,train,train,train,0.8666666666666667,1.0,0.9285714285714286,0.785973362069173,13,15,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,3,train,train,train,0.9285714285714286,1.0,0.962962962962963,0.8897169852850295,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,4,train,train,train,0.8333333333333334,1.0,0.9090909090909091,0.8245181576031304,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,5,train,train,train,0.7,1.0,0.8235294117647058,0.8097937607172082,7,10,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,6,train,train,train,0.9230769230769231,1.0,0.9600000000000001,0.8851782667616122,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,7,train,train,train,0.9230769230769231,1.0,0.9600000000000001,0.8858701257547108,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,8,train,train,train,0.9285714285714286,1.0,0.962962962962963,0.9057859339623554,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,fog_bank,9,train,train,train,0.8461538461538461,1.0,0.9166666666666666,0.7569353286930656,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,0,train,train,train,0.9230769230769231,1.0,0.9600000000000001,0.9001407067350221,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,1,train,train,train,0.875,1.0,0.9333333333333333,0.8264049153260621,14,16,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,2,train,train,train,0.875,1.0,0.9333333333333333,0.7991319728175719,14,16,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,3,train,train,train,0.9285714285714286,1.0,0.962962962962963,0.8943615879635752,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,4,train,train,train,0.8333333333333334,1.0,0.9090909090909091,0.8340989409689077,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,5,train,train,train,0.8181818181818182,1.0,0.9,0.8202664651853504,9,11,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,6,train,train,train,0.9285714285714286,1.0,0.962962962962963,0.8936431238762362,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,7,train,train,train,0.9230769230769231,1.0,0.9600000000000001,0.8934151430081599,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,8,train,train,train,0.9285714285714286,1.0,0.962962962962963,0.9127431917925053,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,landslide,9,train,train,train,0.8461538461538461,1.0,0.9166666666666666,0.7724249196494362,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,0,train,train,train,0.8333333333333334,0.5,0.625,0.6584468317039843,10,6,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,1,train,train,train,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.42857272828968984,14,9,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,2,train,train,train,0.8888888888888888,0.6666666666666666,0.761904761904762,0.49776912413658897,12,9,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,3,train,train,train,0.875,0.7,0.7777777777777777,0.6785282193820118,10,8,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,4,train,train,train,0.8333333333333334,0.625,0.7142857142857143,0.6064462408634612,8,6,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,5,train,train,train,0.6666666666666666,0.8,0.7272727272727272,0.7373363771084136,5,6,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,6,train,train,train,0.8571428571428571,0.6,0.7058823529411764,0.597823489212402,10,7,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,7,train,train,train,0.8571428571428571,0.6,0.7058823529411764,0.44390449077640565,10,7,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,8,train,train,train,1.0,0.5833333333333334,0.7368421052631579,0.6549500321789047,12,7,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,crash,9,train,train,train,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.5618375770833237,9,6,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,0,train,held_out,train,0.9230769230769231,1.0,0.9600000000000001,0.8986976771355641,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,1,train,held_out,train,0.875,1.0,0.9333333333333333,0.8230404417586484,14,16,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,2,train,held_out,train,0.875,1.0,0.9333333333333333,0.79554221785825,14,16,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,3,train,held_out,train,0.9285714285714286,1.0,0.962962962962963,0.8931392496399607,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,4,train,held_out,train,0.8333333333333334,1.0,0.9090909090909091,0.8315089859027311,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,5,train,held_out,train,0.8181818181818182,1.0,0.9,0.8175055071979751,9,11,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,6,train,held_out,train,0.9285714285714286,1.0,0.962962962962963,0.8914091590133959,13,14,226.35532333438687,fallback
rural_highway,1.0,1.0,clear,waterlogging,7,train,held_out,train,0.9230769230769231,1.0,0.9600000000000001,0.8914283090986079,12,13,226.35532333438687,fallback
