scenario,density,density_veh_km_lane,weather,hazard_type,policy,tau,seed,topology_split,hazard_split,weather_split,checkpoint_sha,actionable_deadline_miss_rate,airtime_ms,airtime_per_at_risk_informed_ms,at_risk_coverage,collisions_per_delivered,coverage,deadline_miss_rate,dissemination_cbr,latency_mean_s,latency_p95_s,max_hops,pdr,redundancy_ratio,rwcr,spatial_reach_m,tir_median_s,tir_p95_s,tir_uninformed_frac,transmissions,tx_per_at_risk_informed,gate_fallback_rate,gate_confidence_mean,backend,config_hash,comm_range_m,cs_range_m,hazard_severity,metrics_version
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,3,train,train,train,,1.0,0.44,inf,0.0,0.0,0.11538461538461539,1.0,3.669724770642202e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.3333333333333333,0.0,221.2731475830078,nan,nan,1.0,1.0,inf,nan,nan,sumo,93d81cd00e66,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,4,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,212.75404357910156,nan,nan,1.0,2.0,inf,nan,nan,sumo,9116bcb59899,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,5,train,train,train,,1.0,0.44,inf,0.0,0.0,0.07692307692307693,1.0,3.669724770642202e-06,0.050000000000000266,0.0950000000000005,1.0,0.5,0.5,0.0,36.19970703125,nan,nan,1.0,1.0,inf,nan,nan,sumo,3f1d5749137a,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,6,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.10000000000000024,0.1900000000000002,2.0,0.75,0.6666666666666666,0.0,50.23191452026367,nan,nan,1.0,2.0,inf,nan,nan,sumo,f551cbfa029e,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,7,train,train,train,,1.0,0.44,inf,0.0,0.0,0.11538461538461539,1.0,3.669724770642202e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.3333333333333333,0.0,256.8700256347656,nan,nan,1.0,1.0,inf,nan,nan,sumo,7aeec3effa9a,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,8,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,401.13287353515625,nan,nan,1.0,2.0,inf,nan,nan,sumo,28f370227d11,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_03,,9,train,train,train,,1.0,0.44,inf,0.0,0.0,0.11538461538461539,1.0,3.669724770642202e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.3333333333333333,0.0,401.29302978515625,nan,nan,1.0,1.0,inf,nan,nan,sumo,7ddce8e3b3de,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,0,train,train,train,,1.0,0.44,inf,0.0,0.0,0.11538461538461539,1.0,3.669724770642202e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.3333333333333333,0.0,254.44004821777344,nan,nan,1.0,1.0,inf,nan,nan,sumo,daa6f984da64,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,1,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,155.1228485107422,nan,nan,1.0,2.0,inf,nan,nan,sumo,6af09794e6fe,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,2,train,train,train,,0.9090909090909091,0.88,0.88,0.09090909090909091,0.0,0.15384615384615385,0.9090909090909091,7.339449541284404e-06,0.10000000000000031,0.1850000000000002,2.0,0.75,0.5,0.1301043619121086,838.68994140625,0.20000000000000018,0.20000000000000018,0.8333333333333334,2.0,2.0,nan,nan,sumo,0ed7ee8249ba,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,3,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,221.2731475830078,nan,nan,1.0,2.0,inf,nan,nan,sumo,fb48ad9dade9,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,4,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,212.75404357910156,nan,nan,1.0,2.0,inf,nan,nan,sumo,2b271fdf36de,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,5,train,train,train,,1.0,0.44,inf,0.0,0.0,0.07692307692307693,1.0,3.669724770642202e-06,0.050000000000000266,0.0950000000000005,1.0,0.5,0.5,0.0,36.19970703125,nan,nan,1.0,1.0,inf,nan,nan,sumo,8c182e6d09df,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,6,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.10000000000000024,0.1900000000000002,2.0,0.8333333333333334,1.0,0.0,50.23191452026367,nan,nan,1.0,3.0,inf,nan,nan,sumo,c0a150e8f723,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,7,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,256.8700256347656,nan,nan,1.0,2.0,inf,nan,nan,sumo,8b558ae5b785,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,8,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.06666666666666703,0.10000000000000053,1.0,0.8,1.0,0.0,401.13287353515625,nan,nan,1.0,3.0,inf,nan,nan,sumo,038ed85e0431,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_05,,9,train,train,train,,1.0,0.44,inf,0.0,0.0,0.11538461538461539,1.0,3.669724770642202e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.3333333333333333,0.0,401.29302978515625,nan,nan,1.0,1.0,inf,nan,nan,sumo,2d0270d3e362,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,0,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,254.44004821777344,nan,nan,1.0,2.0,inf,nan,nan,sumo,114414f8acd9,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,1,train,train,train,,0.9090909090909091,2.2,2.2,0.09090909090909091,0.0,0.23076923076923078,0.9090909090909091,1.834862385321101e-05,0.1666666666666671,0.3000000000000007,3.0,0.875,0.8333333333333334,0.1310580927404737,1439.669921875,0.20000000000000018,0.20000000000000018,0.8333333333333334,5.0,5.0,nan,nan,sumo,fea37c894a07,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,2,train,train,train,,0.9090909090909091,1.76,1.76,0.09090909090909091,0.0,0.23076923076923078,0.9090909090909091,1.4678899082568807e-05,0.1666666666666671,0.3000000000000007,3.0,0.7777777777777778,0.6666666666666666,0.1301043619121086,1282.6842041015625,0.20000000000000018,0.20000000000000018,0.8333333333333334,4.0,4.0,nan,nan,sumo,f3b7905ee8eb,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,3,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,221.2731475830078,nan,nan,1.0,2.0,inf,nan,nan,sumo,2fcfeae553a8,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,4,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.06666666666666703,0.10000000000000053,1.0,1.0,1.0,0.0,212.75404357910156,nan,nan,1.0,3.0,inf,nan,nan,sumo,20014fa5f6ce,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,5,train,train,train,,0.9090909090909091,1.32,1.32,0.09090909090909091,0.0,0.15384615384615385,0.9090909090909091,1.1009174311926607e-05,0.15000000000000036,0.2850000000000006,3.0,0.7142857142857143,0.75,0.12923521790984827,836.02001953125,0.3000000000000007,0.3000000000000007,0.8333333333333334,3.0,3.0,nan,nan,sumo,9a4c46003644,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,6,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.10000000000000024,0.1900000000000002,2.0,0.8333333333333334,1.0,0.0,50.23191452026367,nan,nan,1.0,3.0,inf,nan,nan,sumo,ddd3d7b9316e,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,7,train,train,train,,0.9090909090909091,1.32,1.32,0.09090909090909091,0.0,0.15384615384615385,0.9090909090909091,1.1009174311926607e-05,0.10000000000000031,0.1850000000000002,2.0,1.0,0.75,0.13253353228180723,929.39990234375,0.20000000000000018,0.20000000000000018,0.8333333333333334,3.0,3.0,nan,nan,sumo,70ba66b9e951,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,8,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.06666666666666703,0.10000000000000053,1.0,0.8,1.0,0.0,401.13287353515625,nan,nan,1.0,3.0,inf,nan,nan,sumo,3f8d18720308,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,p_persistence_07,,9,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.06666666666666703,0.10000000000000053,1.0,0.8,1.0,0.0,401.29302978515625,nan,nan,1.0,3.0,inf,nan,nan,sumo,a8780ecd32bd,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,0,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,254.44004821777344,nan,nan,1.0,2.0,inf,nan,nan,sumo,055facdbd4fd,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,1,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,155.1228485107422,nan,nan,1.0,2.0,inf,nan,nan,sumo,f1b8019f9260,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,2,train,train,train,,0.9090909090909091,2.64,2.64,0.09090909090909091,0.0,0.23076923076923078,0.9090909090909091,2.2018348623853213e-05,0.2500000000000003,0.5,3.0,0.8333333333333334,1.0,0.1301043619121086,1286.5640869140625,0.3000000000000007,0.3000000000000007,0.8333333333333334,6.0,6.0,nan,nan,sumo,268a47973a81,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,3,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,0.8,0.6666666666666666,0.0,221.2731475830078,nan,nan,1.0,2.0,inf,nan,nan,sumo,be4063bf5e43,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,4,train,train,train,,1.0,0.88,inf,0.0,0.0,0.11538461538461539,1.0,7.339449541284404e-06,0.06666666666666703,0.10000000000000053,1.0,1.0,0.6666666666666666,0.0,212.75404357910156,nan,nan,1.0,2.0,inf,nan,nan,sumo,218de1cef3bc,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,5,train,train,train,,0.9090909090909091,2.64,2.64,0.09090909090909091,0.0,0.23076923076923078,0.9090909090909091,2.2018348623853213e-05,0.616666666666667,1.1500000000000001,5.0,0.7857142857142857,1.0,0.12923521790984827,1296.60400390625,0.8000000000000007,0.8000000000000007,0.8333333333333334,6.0,6.0,nan,nan,sumo,2cf5e6c5ac34,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,6,train,train,train,,1.0,1.32,inf,0.0,0.0,0.11538461538461539,1.0,1.1009174311926607e-05,0.2333333333333337,0.5500000000000005,2.0,0.8333333333333334,1.0,0.0,50.23191452026367,nan,nan,1.0,3.0,inf,nan,nan,sumo,4d1c851f6914,610.4,932.8,0.8,3
rural_highway,1.0,1.0,clear,fog_bank,slotted_1p,,7,train,train,train,,0.9090909090909091,2.2,2.2,0.09090909090909091,0.0,0.23076923076923078,0.9090909090909091,1.834862385321101e-05,0.2666666666666669,0.5,3.0,1.0,0.8333333333333334,0.13253353228180723,1286.8438720703125,0.40000000000000036,0.40000000000000036,0.8333333333333334,5.0,5.0,nan,nan,sumo,7840fc199631,610.4,932.8,0.8,3
