scenario,density_veh_km_lane,hazard_split,weather_split,metric,n_policies,fallback_best,sumo_best,best_changed,kendall_tau,fallback_best_value,sumo_same_policy_value,sumo_best_value,flip_gain,flip_gain_rel
rural_highway,1.0,held_out,held_out,tx_per_at_risk_informed,9,counter_based,p_persistence_03,True,,inf,2.15,1.35,0.7999999999999998,0.3720930232558139
rural_highway,1.0,held_out,held_out,rwcr,9,dvcast,dvcast,False,0.7575757575757576,0.10343996901350574,0.223540021732814,0.223540021732814,0.0,0.0
rural_highway,1.0,held_out,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.8333333333333334,0.12857142857142895,0.11000000000000046,0.11000000000000046,0.0,0.0
rural_highway,1.0,held_out,held_out,actionable_deadline_miss_rate,9,dvcast,dvcast,False,0.8000946913656627,0.9378030303030304,0.9231818181818182,0.9231818181818182,0.0,0.0
rural_highway,1.0,held_out,train,tx_per_at_risk_informed,9,counter_based,counter_based,False,,inf,inf,inf,,
rural_highway,1.0,held_out,train,rwcr,9,dvcast,slotted_1p,True,0.898645105261295,0.08020730053909311,0.1301400308468157,0.13647639819048316,0.006336367343667465,0.04868884156886232
rural_highway,1.0,held_out,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.9296696802013682,0.11250000000000032,0.11818181818181861,0.11818181818181861,0.0,0.0
rural_highway,1.0,held_out,train,actionable_deadline_miss_rate,9,dvcast,flooding,True,0.8657680793384717,0.9449231324231324,0.95,0.9454545454545455,0.004545454545454408,0.004784688995215167
rural_highway,1.0,train,held_out,tx_per_at_risk_informed,9,counter_based,p_persistence_03,True,,inf,2.15,1.35,0.7999999999999998,0.3720930232558139
rural_highway,1.0,train,held_out,rwcr,9,dvcast,dvcast,False,0.7575757575757576,0.10252944272039992,0.23884593584115976,0.23884593584115976,0.0,0.0
rural_highway,1.0,train,held_out,tir_median_s,9,p_persistence_07,p_persistence_03,True,-0.05555555555555555,0.38285714285714306,0.13750000000000043,0.11000000000000047,0.027499999999999955,0.19999999999999904
rural_highway,1.0,train,held_out,actionable_deadline_miss_rate,9,dvcast,dvcast,False,0.8000946913656627,0.9411399711399712,0.9204545454545454,0.9204545454545454,0.0,0.0
rural_highway,1.0,train,train,tx_per_at_risk_informed,9,counter_based,counter_based,False,,inf,inf,inf,,
rural_highway,1.0,train,train,rwcr,9,dvcast,slotted_1p,True,0.898645105261295,0.07694120653835708,0.1390677848425936,0.1458639545812709,0.0067961697386773046,0.048869475747885624
rural_highway,1.0,train,train,tir_median_s,9,p_persistence_07,p_persistence_03,True,-0.3098898934004561,0.9285714285714287,0.16428571428571465,0.11818181818181861,0.046103896103896036,0.28063241106719267
rural_highway,1.0,train,train,actionable_deadline_miss_rate,9,dvcast,flooding,True,0.8657680793384717,0.9448347023347023,0.9483333333333335,0.9436363636363636,0.004696969696969866,0.004952867870266994
rural_highway,2.0,held_out,held_out,tx_per_at_risk_informed,9,greedy_farthest,counter_based,True,0.3333333333333333,1.8692005217005216,1.1305555555555555,0.475,0.6555555555555556,0.5798525798525799
rural_highway,2.0,held_out,held_out,rwcr,9,flooding,slotted_1p,True,0.4351941398892446,0.6841720646490691,0.14895585215325496,0.17013668744151728,0.021180835288262312,0.14219538864757164
rural_highway,2.0,held_out,held_out,tir_median_s,9,p_persistence_03,counter_based,True,0.41247895569215276,0.1428571428571433,0.1000000000000005,0.1000000000000005,0.0,0.0
rural_highway,2.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,slotted_1p,True,0.37716825457067865,0.49628261216767405,0.9639090909090908,0.9472424242424242,0.016666666666666607,0.017290703888836433
rural_highway,2.0,held_out,train,tx_per_at_risk_informed,9,dvcast,counter_based,True,0.2,1.7780402930402928,1.2416666666666667,0.6,0.6416666666666667,0.5167785234899329
rural_highway,2.0,held_out,train,rwcr,9,slotted_1p,greedy_farthest,True,0.253546276418555,0.6501705946219002,0.12497148735837141,0.17480185094759443,0.04983036358922302,0.398733860359109
rural_highway,2.0,held_out,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.5916079783099616,0.17941176470588277,0.1000000000000005,0.1000000000000005,0.0,0.0
rural_highway,2.0,held_out,train,actionable_deadline_miss_rate,9,slotted_1p,greedy_farthest,True,0.253546276418555,0.525147788078869,0.9759416509416509,0.936154354904355,0.039787296037295916,0.0407681094447671
rural_highway,2.0,train,held_out,tx_per_at_risk_informed,9,flooding,counter_based,True,,3.0647233784733787,1.7361111111111112,0.475,1.261111111111111,0.7263999999999999
rural_highway,2.0,train,held_out,rwcr,9,flooding,slotted_1p,True,0.4351941398892446,0.6764802990558425,0.16439054799196987,0.1787529406167004,0.014362392624730547,0.08736750865647165
rural_highway,2.0,train,held_out,tir_median_s,9,p_persistence_03,counter_based,True,0.41247895569215276,0.14545454545454592,0.1000000000000005,0.1000000000000005,0.0,0.0
rural_highway,2.0,train,held_out,actionable_deadline_miss_rate,9,flooding,slotted_1p,True,0.37716825457067865,0.5042187081637546,0.9653021390374331,0.954191027926322,0.011111111111111072,0.011510500869904523
rural_highway,2.0,train,train,tx_per_at_risk_informed,9,dvcast,counter_based,True,1.0,1.9776972564472564,1.2861111111111112,0.6,0.6861111111111112,0.5334773218142549
rural_highway,2.0,train,train,rwcr,9,slotted_1p,greedy_farthest,True,0.253546276418555,0.6358913017614505,0.13317276287854404,0.17156749910039357,0.038394736221849524,0.2883077244321064
rural_highway,2.0,train,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.6479515952918626,0.18953488372093066,0.1000000000000005,0.1000000000000005,0.0,0.0
rural_highway,2.0,train,train,actionable_deadline_miss_rate,9,slotted_1p,greedy_farthest,True,0.3098898934004561,0.5362422916873886,0.9810407654610552,0.9509678155351643,0.030072949925890935,0.03065412874230327
rural_highway,3.0,held_out,held_out,tx_per_at_risk_informed,9,greedy_farthest,weighted_p,True,0.5855400437691199,1.4479728288193763,1.525,1.3,0.22499999999999987,0.1475409836065573
rural_highway,3.0,held_out,held_out,rwcr,9,flooding,flooding,False,0.28196295074009653,0.8596359952076004,0.1284091333913446,0.1284091333913446,0.0,0.0
rural_highway,3.0,held_out,held_out,tir_median_s,9,p_persistence_03,counter_based,True,-0.06761234037828133,0.18611111111111142,0.10250000000000051,0.10250000000000051,0.0,0.0
rural_highway,3.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.47809144373375745,0.33026098921762864,0.9642548798798799,0.9642548798798799,0.0,0.0
rural_highway,3.0,held_out,train,tx_per_at_risk_informed,9,greedy_farthest,counter_based,True,1.0,1.3859101249627566,1.7321428571428572,1.45,0.28214285714285725,0.1628865979381444
rural_highway,3.0,held_out,train,rwcr,9,flooding,flooding,False,0.46291004988627577,0.8401550130471959,0.11111484400219136,0.11111484400219136,0.0,0.0
rural_highway,3.0,held_out,train,tir_median_s,9,p_persistence_03,counter_based,True,0.2160246899469287,0.16578947368421088,0.1050000000000005,0.1050000000000005,0.0,0.0
rural_highway,3.0,held_out,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.5635445125120265,0.35552853142684365,0.9723556998556999,0.9723556998556999,0.0,0.0
rural_highway,3.0,train,held_out,tx_per_at_risk_informed,9,greedy_farthest,weighted_p,True,0.3333333333333333,1.5130766209661923,1.5583333333333333,1.2916666666666667,0.2666666666666666,0.17112299465240638
rural_highway,3.0,train,held_out,rwcr,9,flooding,flooding,False,0.28196295074009653,0.8548097636493396,0.129214292636218,0.129214292636218,0.0,0.0
rural_highway,3.0,train,held_out,tir_median_s,9,p_persistence_03,counter_based,True,-0.06761234037828133,0.20096153846153875,0.1025000000000005,0.1025000000000005,0.0,0.0
rural_highway,3.0,train,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.47809144373375745,0.33645778093957823,0.9696967056342057,0.9696967056342057,0.0,0.0
rural_highway,3.0,train,train,tx_per_at_risk_informed,9,greedy_farthest,weighted_p,True,1.0,1.4697265476611452,1.7714285714285716,1.4416666666666667,0.3297619047619049,0.1861559139784947
rural_highway,3.0,train,train,rwcr,9,flooding,flooding,False,0.43482827673933633,0.8385357279578447,0.11067334948456195,0.11067334948456195,0.0,0.0
rural_highway,3.0,train,train,tir_median_s,9,p_persistence_03,dvcast,True,0.2608969660436018,0.17843137254901995,0.10500000000000048,0.10500000000000048,0.0,0.0
rural_highway,3.0,train,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.550782483869826,0.36176185066268135,0.9779246332371333,0.9779246332371333,0.0,0.0
rural_highway,5.0,held_out,held_out,tx_per_at_risk_informed,9,p_persistence_03,p_persistence_03,False,0.6666666666666666,0.8765689865689866,1.0209864075982495,1.0209864075982495,0.0,0.0
rural_highway,5.0,held_out,held_out,rwcr,9,flooding,dvcast,True,0.6666666666666666,0.8925393888568405,0.8258960062992392,0.8319244621696494,0.006028455870410232,0.007299291707951422
rural_highway,5.0,held_out,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.8888888888888888,0.21500000000000039,0.2925000000000003,0.2925000000000003,0.0,0.0
rural_highway,5.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,dvcast,True,0.6666666666666666,0.3299040657228255,0.4135988387310439,0.4071472258278181,0.006451612903225823,0.015598721028859546
rural_highway,5.0,held_out,train,tx_per_at_risk_informed,9,p_persistence_03,greedy_farthest,True,0.8888888888888888,0.7633154633464231,1.2046206571206572,1.1630025025483948,0.04161815457226248,0.03454876381726693
rural_highway,5.0,held_out,train,rwcr,9,flooding,greedy_farthest,True,0.5916079783099616,0.891729759240417,0.8066018538490193,0.8253835849438227,0.01878173109480341,0.02328500858903183
rural_highway,5.0,held_out,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.9276336570439175,0.22250000000000045,0.28000000000000025,0.28000000000000025,0.0,0.0
rural_highway,5.0,held_out,train,actionable_deadline_miss_rate,9,flooding,greedy_farthest,True,0.5916079783099616,0.3295453791641311,0.40910714285714284,0.3932949862637362,0.015812156593406623,0.0386504045932244
rural_highway,5.0,train,held_out,tx_per_at_risk_informed,9,greedy_farthest,greedy_farthest,False,0.8095238095238095,1.3095261591563636,1.2539311222786453,1.2539311222786453,0.0,0.0
rural_highway,5.0,train,held_out,rwcr,9,flooding,flooding,False,0.8333333333333334,0.8880999117506206,0.8244532944468123,0.8244532944468123,0.0,0.0
rural_highway,5.0,train,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.873326063219467,0.24272727272727315,0.30000000000000027,0.30000000000000027,0.0,0.0
rural_highway,5.0,train,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.8333333333333334,0.34005700205401707,0.42243823261559654,0.42243823261559654,0.0,0.0
rural_highway,5.0,train,train,tx_per_at_risk_informed,9,greedy_farthest,greedy_farthest,False,1.0,1.2932058820775592,1.245694733064785,1.245694733064785,0.0,0.0
rural_highway,5.0,train,train,rwcr,9,flooding,counter_based,True,0.6479515952918626,0.8869972402873804,0.8105560877953276,0.8193315646484608,0.00877547685313318,0.01082648935128233
rural_highway,5.0,train,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.9296696802013682,0.24732142857142905,0.31083333333333363,0.31083333333333363,0.0,0.0
